otu name,Taxonomy,Percent Homology,evalue,bitscore,homology extract gibbsfree_otu/gibbsfree_homolog,total length gibbsfree_otu/otu_lenth/gibbsfree_homolog/homolog_length,Extraction-Blank-1,Extraction-Blank-2,H2O-Extraction-Blank,MKE-1-2,MKE-1-3,MKE-1-4,MKE-2-1,MKE-2-2,MKE-2-3,MKE-3-3,MKE-3-4,MKE-3-7,MKE-4-B1,MKE-4-B2,MKE-4-B3,MKE-4-Tub-2,MKE-4-Tub-3,MKE-4-Tub-4,MKE-4-UT1,MKE-4-UT2,MKE-4-UT3,MKE-5-B5,MKE-5-B6,MKE-5-B7,MKE-5-T1,MKE-5-T2,MKE-5-B1,MKE-5-Tub1-R1,MKE-5-Tub2-R1,MKE-5-Tub3-R1,MKE-5-UT1,MKE-5-UT2,MKE-5-UT3,MKE-7-2,MKE-7-1,MKE-7-4,MKE-7-Bot-Tub1,MKE-7-Bot-Tub2,MKE-7-Top-Tub1,MKE-7-UT1,MKE-7-UT2,MKE-7-UT3,MKE-8-3,MKE-8-4,MKE-8-5,MKE-9-Cu2,MKE-9-Cu3,MKE-9-Cu4,MKE-13-4,MKE-13-5,MKE-13-6,MKE-14-B1,MKE-14-B2,MKE-14-B3,MKE-16-B1,MKE-16-B2,MKE-16-B3,MKE-16-Tub-R1,MKE-16-Tub-R2,OC-1-G,OC-1-H,OC-1-I,OC-4-3,OC-4-4,OC-4-5,OC-5-3,OC-5-4,OC-5-5,OC-6-1,OC-6-2,OC-6-5,OC-7-4,OC-7-5,OC-7-6,WK1-B1,WK1-B2,WK1-B3,WK2-LP-19-B,WK2-LP-20-B,WK2-LP-21-B,WK2-Fe-1,WK2-Fe-12D,WK2-Fe-3,WK3-B3,WK3-B4,WK3-B5,WK3-Tub-4,WK3-Tub-6,WK3-Tub-7,WK3-UT-1,WK3-UT-2,WK3-UT-3
Zotu1,eu024179.1 burkholderia ubonensis str. cip 107078  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__burkholderiaceae;g__burkholderia;s__burkholderia ubonensis;superkingdom__bacteria,100,1.19435e-126,457.539,,,234,233,227,216,267,225,236,214,250,284,8970,11881,241,2056,2186,1007,380,1239,2092,510,2595,4279,4213,3829,19771,3932,3427,3465,3756,3490,1523,3064,1368,2996,0,1493,3042,1954,3040,3067,2727,904,5355,4406,8590,4425,4101,4340,16158,8085,4108,4419,3407,3926,3630,3947,2476,285,268,9798,696,9915,17866,4426,4032,0,0,17110,17872,4326,17992,15456,3954,3270,9096,5263,1399,1679,1500,2424,1522,2066,1934,2045,16303,1626,1750,1501,1401,1358,1599,1079
Zotu2,ab024608.1 ralstonia solanacearum maff 301559  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__burkholderiaceae;g__ralstonia;s__ralstonia solanacearum;superkingdom__bacteria,100,1.19435e-126,457.539,,,24,4,0,2583,316,2,4,8,11,0,808,469,134,15,77,12,2,5,37,1,3,14,3,87,229,0,378,0,1,40,37,57,3,15,0,24,14,18,32,21,4,4,432,10,1045,142,24,9,97,151,12,7,8,16,8,11,4,1,5,6701,19468,6301,249,5,10,0,0,414,318,5,478,289,442,318,3418,12553,5999,1899,1316,112,4145,866,1215,106,584,87,57,78,55,2312,1329,1197
Zotu3,fj167349.1 lactococcus lactis str. t12  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__lactococcus;s__lactococcus lactis;superkingdom__bacteria,100,1.19435e-126,457.539,,,4035,4165,4068,194,3769,4270,4216,4218,4128,4248,1235,822,4020,557,582,242,120,309,508,142,771,823,1054,225,326,981,869,925,1033,818,375,797,296,678,0,750,738,452,785,810,630,224,438,1005,1067,995,1034,783,152,156,1104,952,924,881,785,946,575,84,71,201,243,269,451,1041,957,0,0,624,557,1075,136,459,1133,760,484,288,2574,2708,2796,3396,2643,2791,3515,2974,125,3459,2312,2983,2836,2757,2487,2634
Zotu4,eu776027.1 spotted hyena feces clone hy2_d10   ;k__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__peptostreptococcaceae;g__peptoclostridium;s__clostridium hiranonis;superkingdom__bacteria;,100,4.14993e-126,455.735,,,1569,1592,1543,66,1579,1542,1765,1495,1625,1637,114,7,1595,1098,317,548,222,616,1144,238,1502,2091,2057,157,305,2350,1871,2269,2505,1904,856,1743,637,1639,0,300,1586,1012,1801,1811,1625,491,81,2430,125,2398,2367,2470,676,40,2151,2239,2070,2031,1856,2060,1386,164,164,132,274,304,230,2438,2271,0,0,485,446,2394,98,70,2084,1751,97,123,902,1118,1323,1096,1107,1096,1098,802,102,1273,1175,788,1164,1015,1136,1033
Zotu5,eu768718.1 pervasive effects antibiotic on human gut microbiota deep sequencing fecal clone c5_740   ;k__bacteria;p__actinobacteria;c__actinomycetia;o__bifidobacteriales;f__bifidobacteriaceae;g__bifidobacterium;s__bifidobacterium adolescentis;superkingdom__bacteria;,100,1.19435e-126,457.539,,,2085,2097,1862,71,1898,1873,1944,2073,2117,2003,238,0,1937,230,472,97,46,142,223,35,295,356,363,73,318,352,308,286,409,322,139,272,127,256,0,181,305,173,312,321,277,83,126,337,158,390,418,263,253,93,307,317,278,319,301,331,244,38,23,280,76,102,214,303,302,0,0,364,336,374,13,68,477,267,279,176,1046,1464,1330,1594,1385,1530,1103,2048,536,1617,1423,1227,1293,1380,1131,1001
Zotu6,fj810596.1 subsurface ecosystem resilience: long_term attenuation subsurface contaminants supports elaborate eukaryotic food chain and dynamic microbial coal tar waste_contaminated groundwater clone jmyb36_80  ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__desulfovibrionales;f__desulfovibrionaceae;g__desulfovibrio;s__desulfovibrio mexicanus;superkingdom__bacteria;subphylum__delta/epsilon subdivisions,99.20948617,6.18691e-124,448.522,,,0,0,0,0,0,0,0,0,0,0,0,159,2,6,20,6,6,1,227,430,629,0,0,99,0,0,77,17,0,647,4246,2061,6274,50,0,204,227,5377,0,368,936,13599,0,0,0,0,0,0,0,0,0,0,4,18,6,2,54,0,0,0,29,0,67,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0
Zotu7,gq046041.1 topographical and temporal human skin microbiome skin volar forearm clone nbw993b10c1    ;k__bacteria;p__actinobacteria;c__actinomycetia;o__corynebacteriales;f__corynebacteriaceae;g__corynebacterium;s__corynebacterium kroppenstedtii;superkingdom__bacteria;,100,3.4373e-127,459.342,,,131,133,131,168,93,129,134,111,136,112,1445,845,109,149,335,98,32,108,185,37,233,307,427,413,1537,328,220,319,403,268,136,319,114,270,0,458,225,162,257,282,216,68,737,302,85,312,299,313,2760,1027,325,378,302,305,310,318,220,28,27,1004,263,1100,2838,257,385,0,0,1071,1465,302,1448,1941,330,279,1045,957,241,329,308,294,333,234,275,221,831,127,193,366,186,283,122,231
Zotu8,undibacterium parvum ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__oxalobacteraceae;g__undibacterium;s__undibacterium parvum;superkingdom__bacteria,99.60474308,5.07852e-125,452.129,,,0,0,0,4052,52,5,0,3,0,2,485,460,72,69,1280,24,2,107,0,3,0,35,53,354,124,26,660,4,1,15,3,5,2,66,0,347,12,9,3,0,6,0,8088,107,10715,0,0,0,0,0,0,92,61,79,1623,579,1677,90,89,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,0,0,0,5,7,2,0,0,0,0,0,0,0,0,0,0,0,2
Zotu9,gq032279.1 topographical and temporal human skin microbiome skin volar forearm clone nbw904f03c1  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__moraxellaceae;g__acinetobacter;s__acinetobacter lwoffii;superkingdom__bacteria,100,1.19435e-126,457.539,,,115,155,171,887,176,139,154,133,161,115,817,1925,109,284,7,170,83,207,368,119,522,690,631,338,394,799,573,927,717,656,330,713,251,561,0,40,416,387,700,648,518,169,514,734,315,733,754,685,742,10,719,697,637,644,545,746,491,68,60,294,46,36,780,750,792,0,0,925,325,746,86,421,685,718,108,330,194,511,242,447,181,326,394,277,395,253,289,703,176,435,468,208
Zotu10,gq079934.1 topographical and temporal human skin microbiome skin volar forearm clone nbw1183c04c1    ;k__bacteria;p__actinobacteria;c__actinomycetia;o__corynebacteriales;f__corynebacteriaceae;g__corynebacterium;s__corynebacterium kroppenstedtii;superkingdom__bacteria;,99.60629921,4.18748e-126,455.735,,,61,58,60,63,59,56,70,58,55,31,1604,1042,72,100,92,63,34,97,145,37,212,289,275,240,393,273,221,286,278,239,115,232,118,257,0,152,202,117,183,234,158,64,392,244,57,280,261,260,601,714,251,291,272,296,266,277,193,36,22,274,64,176,1189,283,281,0,0,606,281,277,452,616,238,275,772,427,141,193,333,308,102,164,286,124,212,170,136,166,117,265,140,145
Zotu12,eu981230.1 sulfate reducing living bench scale aquifer packed bed clone b7_fb  ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__desulfovibrionales;f__desulfovibrionaceae;g__desulfovibrio;s__desulfovibrio mexicanus;superkingdom__bacteria;subphylum__delta/epsilon subdivisions,100,1.19435e-126,457.539,,,0,0,0,0,0,0,0,0,0,0,0,0,3,30,46,49,475,83,3065,3447,2328,0,1,29,0,0,64,1,0,55,1503,456,2846,16,0,4,10,39,0,18,158,87,0,0,0,0,0,0,0,0,0,0,0,0,41,5,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,104,56,128,10,0,0,1,0
Zotu13,sideroxydans lithotrophicus  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__nitrosomonadales;f__gallionellaceae;g__sideroxydans;s__sideroxydans lithotrophicus; superkingdom__bacteria;,96.83794466,8.59994e-116,421.471,,,0,0,0,3,0,0,0,0,0,0,0,0,118,1412,395,7016,2170,2875,647,1061,246,0,0,31,0,0,1,0,0,0,3,0,2,261,0,537,1378,220,150,22,29,6,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,11,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu14,af429763.1 streptococcus lutetiensis subsp. coli str. hdp90246 ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus lutetiensis;superkingdom__bacteria,100,4.14993e-126,455.735,,,572,594,560,21,632,613,683,642,642,565,413,87,582,229,156,149,65,138,297,63,451,603,553,24,164,665,481,678,572,496,221,432,179,386,0,24,396,246,401,381,417,104,99,615,165,567,637,559,0,59,582,579,630,514,492,609,318,41,39,73,87,81,0,474,598,0,0,92,83,592,2,165,580,475,53,41,310,383,371,377,305,400,345,296,70,385,263,405,377,269,360,259
Zotu15,simplicispira psychrophila ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__comamonadaceae;g__simplicispira;s__simplicispira psychrophila;superkingdom__bacteria,100,1.19435e-126,457.539,,,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,11,0,5,1,177,0,0,2,0,0,1,0,0,0,0,0,0,17,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,8,5497,7879,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu16,gallionella capsiferriformans es_2  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__nitrosomonadales;f__gallionellaceae;g__gallionella;s__gallionella capsiferriformans; superkingdom__bacteria;,99.20948617,6.18691e-124,448.522,,,0,0,0,12,0,0,0,14,0,0,187,67,62,910,258,2067,1267,2218,400,1542,123,78,23,796,0,0,35,36,81,110,184,83,191,652,0,92,844,206,62,37,28,9,115,0,110,0,0,0,0,0,0,0,0,3,25,3,21,2940,3515,0,0,0,0,0,0,0,0,0,0,1,134,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu17,aj717376.1 staphylococcus pasteuri cv5  ;k__bacteria;p__firmicutes;c__bacilli;o__bacillales;f__staphylococcaceae;g__staphylococcus;s__staphylococcus pasteuri;superkingdom__bacteria,100,1.19435e-126,457.539,,,164,137,185,256,131,130,128,114,119,89,965,144,110,209,230,129,56,148,282,76,369,491,538,54,257,468,362,582,536,420,205,364,152,274,0,407,327,261,354,415,311,93,158,524,49,472,454,470,397,140,558,607,524,352,419,438,301,40,48,72,56,169,599,495,475,0,0,357,184,502,0,347,456,472,279,139,239,356,262,309,207,361,252,352,563,362,229,347,352,317,286,313
Zotu18,af432082.1 bifidobacterium catenulatum str. atcc27539   ;k__bacteria;p__actinobacteria;c__actinomycetia;o__bifidobacteriales;f__bifidobacteriaceae;g__bifidobacterium;s__bifidobacterium catenulatum;superkingdom__bacteria;,100,1.19435e-126,457.539,,,788,762,697,50,834,764,746,807,793,697,228,232,733,72,90,41,19,42,63,21,105,119,110,12,171,131,139,173,78,167,53,99,37,89,0,39,72,63,90,89,77,31,1,121,0,146,110,63,108,94,149,168,127,130,85,143,71,13,15,155,17,149,1,139,137,0,0,6,202,116,0,0,141,113,1,109,439,567,623,665,524,607,586,491,0,543,462,465,492,655,414,390
Zotu19,eu864475.1 structures under selection pressure levels antibiotics xiao river receiving treated oxytetracycline production wastewater clone e45  ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__desulfovibrionales;f__desulfovibrionaceae;g__desulfovibrio;s__desulfovibrio mexicanus;superkingdom__bacteria;subphylum__delta/epsilon subdivisions,98.81422925,2.63074e-122,443.112,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,124,0,0,117,7,0,75,1057,204,486,12,0,33,251,843,0,1301,3198,2551,0,1,0,0,0,0,0,0,0,6,8,46,392,86,1360,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu20,gq080306.1 topographical and temporal human skin microbiome skin volar forearm clone nbw1186f06c1   ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodospirillales;f__moraxellaceae;g__enhydrobacter;s__enhydrobacter aerosaccus; superkingdom__bacteria;,100,3.4373e-127,459.342,,,97,111,76,10,83,80,87,72,69,53,115,43,57,172,55,76,44,105,173,41,314,370,331,2378,34,342,324,442,402,337,142,355,105,332,0,106,237,204,284,330,237,90,19,309,0,296,324,340,40,30,443,367,380,377,341,366,233,33,27,17,69,12,110,423,411,0,0,31,18,362,63,160,361,284,42,59,127,143,178,209,58,193,198,264,50,208,119,206,169,126,372,122
Zotu21,eu024179.1 burkholderia ubonensis str. cip 107078  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__burkholderiaceae;g__burkholderia;s__burkholderia ubonensis;superkingdom__bacteria,98.81422925,2.63074e-122,443.112,,,4,0,1,65,11,4,1,1,1,4,74,448,11,227,179,213,79,215,81,67,45,26,27,511,270,11,135,10,9,37,62,28,57,123,0,173,173,75,194,20,63,14,1376,17,1282,42,25,18,85,202,13,18,17,41,194,82,143,69,38,1791,228,1618,189,7,14,0,0,418,385,9,295,101,64,57,1064,1274,219,149,92,17,181,69,98,25,390,17,18,18,8,163,105,12
Zotu22,blautia wexlerae  ;k__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__lachnospiraceae;g__blautia;s__blautia wexlerae;superkingdom__bacteria;,100,1.19435e-126,457.539,,,712,773,627,7,744,780,862,757,784,771,0,480,762,94,190,44,23,59,92,12,113,176,200,155,4,180,151,193,246,215,45,144,49,87,0,100,80,64,163,131,130,32,87,163,0,170,155,153,3,0,177,145,135,146,133,192,101,14,17,268,87,39,0,160,131,0,0,14,99,143,312,0,165,131,184,0,449,533,543,579,316,523,552,524,0,641,397,390,476,415,459,365
