OTU,Kingdom,Phylum,Class,Order,Family,Genus,Genus_species,Accession
OTU0001,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_ubonensis,eu024179.1
OTU0002,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia_solanacearum,ab024608.1
OTU0003,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus_lactis,fj167349.1
OTU0004,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptoclostridium,Clostridium_hiranonis,eu776027.1
OTU0005,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_adolescentis,eu768718.1
OTU0006,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_mexicanus,fj810596.1
OTU0007,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_kroppenstedtii,gq046041.1
OTU0008,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium,Undibacterium_parvum,
OTU0009,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_lwoffii,gq032279.1
OTU0010,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_kroppenstedtii,gq079934.1
OTU0012,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_mexicanus,eu981230.1
OTU0013,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Sideroxydans,Sideroxydans_lithotrophicus,
OTU0014,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_lutetiensis,af429763.1
OTU0015,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Simplicispira,Simplicispira_psychrophila,
OTU0016,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Gallionella,Gallionella_capsiferriformans,
OTU0017,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_pasteuri,aj717376.1
OTU0018,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_catenulatum,af432082.1
OTU0019,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_mexicanus,eu864475.1
OTU0020,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Moraxellaceae,Enhydrobacter,Enhydrobacter_aerosaccus,gq080306.1
OTU0021,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_ubonensis,eu024179.1
OTU0022,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia_wexlerae,
OTU0023,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sanguinis,ay281086.1
OTU0024,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_longum,eu768403.1
OTU0025,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Rarobacteraceae,Rarobacter,Rarobacter_incanus,ab056129.1
OTU0026,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,Eubacterium_biforme,eu467546.1
OTU0027,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_johnsonii,ab425921.1
OTU0028,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,Olsenella_profusa,gq089686.1
OTU0029,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax_ferrireducens,
OTU0030,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Gallionella,Gallionella_capsiferriformans,
OTU0031,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium_organophilum,
OTU0032,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,Geothrix_fermentans,
OTU0033,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia_pickettii,gq895735.1
OTU0034,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia_solanacearum,ab024608.1
OTU0035,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_mexicanus,eu981244.1
OTU0036,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Catenibacterium,Catenibacterium_mitsuokai,
OTU0037,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia_solanacearum,ab024608.1
OTU0038,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus_respiraculi,ay860237.1
OTU0039,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Dietziaceae,Dietzia,Dietzia_alimentaria,
OTU0040,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia_producta,fj682274.1
OTU0041,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Gallionella,Gallionella_capsiferriformans,
OTU0042,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_johnsonii,eu434432.1
OTU0043,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptococcaceae,Desulfosporosinus,Desulfosporosinus_meridiei,eu981275.1
OTU0044,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Turicibacteraceae,Turicibacter,Turicibacter_sanguinis,nr_028816.1
OTU0045,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_reuteri,nc_009513.1
OTU0046,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalicoccus,Streptococcus_pleomorphus,
OTU0047,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_tuberculostearicum,aj438048.1
OTU0048,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium_isoniacini,x80768.1
OTU0049,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Snodgrassella,Snodgrassella_alvi,
OTU0050,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera_elsdenii,eu157188.1
OTU0051,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Rhodocyclus,Rhodocyclus_tenuis,ab200298.1
OTU0052,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Rhodanobacter_terrae,fj405366.1
OTU0053,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Pandoraea_thiooxydans,
OTU0054,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium_jicamae,
OTU0055,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Nitrotoga,Nitrotoga_arctica,
