File,ID,Sample_event,Sample,Replicate,DWTP,City,Material,Swab,Event,Service,Diameter_in,Age_yr,Month,Source,Primary,Secondary,Disinfectant,Inhibitor,Other,Log_copies_16S
Extraction-Blank-1,NTC_rep1,blank,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,
Extraction-Blank-2,NTC_rep2,blank,blank,2,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,
H2O-Extraction-Blank,NTC_rep3,blank,blank,3,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,
MKE-1-2,MKE_Cu_smth_event1_rep1,MKE_Cu_bio_event1,MKE_Cu_bio,1,MKE,Milwaukee,copper,smooth,1,lateral,0.75,70,October,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",6.3337
MKE-1-3,MKE_Cu_smth_event1_rep2,MKE_Cu_bio_event1,MKE_Cu_bio,2,MKE,Milwaukee,copper,smooth,1,lateral,0.75,70,October,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",5.8769
MKE-1-4,MKE_Cu_smth_event1_rep3,MKE_Cu_bio_event1,MKE_Cu_bio,3,MKE,Milwaukee,copper,smooth,1,lateral,0.75,70,October,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",
MKE-13-6,MKE_Cu_smth_event13_rep3,MKE_Cu_bio_event13,MKE_Cu_bio,3,MKE,Milwaukee,copper,smooth,13,lateral,0.75,,March,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",
MKE-14-B1,MKE_dFe_smth_event14_rep1,MKE_dFe_bio_event14,MKE_dFe_bio,1,MKE,Milwaukee,ductile iron,smooth,14,lateral,8,16,August,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",
MKE-14-B2,MKE_dFe_smth_event14_rep2,MKE_dFe_bio_event14,MKE_dFe_bio,2,MKE,Milwaukee,ductile iron,smooth,14,lateral,8,16,August,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",6.1664
MKE-14-B3,MKE_dFe_smth_event14_rep3,MKE_dFe_bio_event14,MKE_dFe_bio,3,MKE,Milwaukee,ductile iron,smooth,14,lateral,8,16,August,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",6.5201
MKE-16-B1,MKE_dFe_smth_event16_rep1,MKE_dFe_bio_event16,MKE_dFe_bio,1,MKE,Milwaukee,ductile iron,smooth,16,lateral,8,21,August,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",6.8037
