Indicator,Test,Genus,Variable,stat,p.value,A,B
castiron Acidovorax,Pipe_material,Acidovorax,castiron,0.844965944398397,0.021,0.74371609082612,0.96
castiron Aquicella,Pipe_material,Aquicella,castiron,0.721110255092798,0.009,1,0.52
castiron Bifidobacterium,Pipe_material,Bifidobacterium,castiron,0.700169458312396,0.032,0.110995571664652,1
castiron Bradyrhizobium,Pipe_material,Bradyrhizobium,castiron,0.926982878848406,0.001,0.859297257678078,1
castiron Cellulomonas,Pipe_material,Cellulomonas,castiron,0.739126550751669,0.01,0.718826392139552,0.76
castiron Coxiella,Pipe_material,Coxiella,castiron,0.629374398778788,0.018,0.990280334595401,0.4
castiron Desulfosporosinus,Pipe_material,Desulfosporosinus,castiron,0.905768529425452,0.001,0.932291623747212,0.88
castiron Desulfovibrio,Pipe_material,Desulfovibrio,castiron,0.942058699865554,0.001,0.887474593992378,1
castiron Desulfurivibrio,Pipe_material,Desulfurivibrio,castiron,0.902653377573552,0.003,0.885633826135806,0.92
castiron Devosia,Pipe_material,Devosia,castiron,0.804255656170201,0.008,0.808533950602201,0.8
castiron Dialister,Pipe_material,Dialister,castiron,0.668025882986131,0.032,0.115551060267526,0.96
castiron Dyella,Pipe_material,Dyella,castiron,0.835984373966862,0.003,0.97065260210662,0.72
castiron Ectothiorhodosinus,Pipe_material,Ectothiorhodosinus,castiron,0.834632845051051,0.003,0.967516647275017,0.72
castiron Ferritrophicum,Pipe_material,Ferritrophicum,castiron,0.744616619666269,0.011,0.990096268362895,0.56
castiron Fusicatenibacter,Pipe_material,Fusicatenibacter,castiron,0.725291572180869,0.034,0.0867990567370713,0.84
castiron Geobacter,Pipe_material,Geobacter,castiron,0.792271393944878,0.005,0.68227604528626,0.92
castiron Geothrix,Pipe_material,Geothrix,castiron,0.784009932169583,0.002,0.640282889313077,0.96
castiron Halothiobacillus,Pipe_material,Halothiobacillus,castiron,0.696297299289439,0.012,0.865767730353155,0.56
castiron Helicobacter,Pipe_material,Helicobacter,castiron,0.767263354016112,0.024,0.0767882954879175,0.44
castiron Holophaga,Pipe_material,Holophaga,castiron,0.856642034930514,0.004,0.917294470012365,0.8
castiron Lactococcus,Pipe_material,Lactococcus,castiron,0.674089244823035,0.019,0.125624467104087,1
